,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
"ASSETS",,,,,,,,,,,243790978.74,
"Fixed Assets",,,,,,,,,,,96992751.35,
"Industrial Building",,,,,,,,,,,43821916.86,
"Machakos Premises",,,,,,,,,,,43821916.86,
"Cost",,,,,,,,,,,43821916.86,
,"Bill","03-01-2025","1821919410000014406","P.J Genesis Chuma Limited","Materials","Cost",,"Accounts Payable",834551.72,"",44656468.58,"Fixed Asset"
,"Bill","03-01-2025","1821919410000014405","P.J Genesis Chuma Limited","Materials","Cost",,"Accounts Payable",377500.00,"",45033968.58,"Fixed Asset"
,"Bill","06-01-2025","0170537830000014530","Heko Vision Investments Limited","materials","Cost",,"Accounts Payable",56896.55,"",45090865.13,"Fixed Asset"
,"Bill","06-01-2025","0110166750000041895","Pramukh Hardware Stores Ltd","Materials","Cost",,"Accounts Payable",31896.55,"",45122761.68,"Fixed Asset"
,"Bill","06-01-2025","0170537830000014532","Heko Vision Investments Limited","materials","Cost",,"Accounts Payable",13103.45,"",45135865.13,"Fixed Asset"
,"Bill","06-01-2025","0170537830000014531","Heko Vision Investments Limited","materials","Cost",,"Accounts Payable",65517.24,"",45201382.37,"Fixed Asset"
,"Bill","06-01-2025","KRACU0100069096/280","Eastwest Company Ltd","items","Cost",,"Accounts Payable",646.55,"",45202028.92,"Fixed Asset"
,"Bill","07-01-2025","0110166750000041922","Pramukh Hardware Stores Ltd","Materials","Cost",,"Accounts Payable",9568.97,"",45211597.89,"Fixed Asset"
,"Bill","08-01-2025","0110168610000007956","Kens Metal Industries Limited","Machakos Premises","Cost",,"Accounts Payable",1508.62,"",45213106.51,"Fixed Asset"
,"Bill","08-01-2025","0110168610000007954","Kens Metal Industries Limited","Machakos Premises","Cost",,"Accounts Payable",28064.66,"",45241171.17,"Fixed Asset"
,"Bill","08-01-2025","0110166750000042025","Pramukh Hardware Stores Ltd","Materials","Cost",,"Accounts Payable",65655.17,"",45306826.34,"Fixed Asset"
,"Bill","08-01-2025","0041407360000014928","Gabmars Enterprises","Materials","Cost",,"Accounts Payable",99267.24,"",45406093.58,"Fixed Asset"
,"Bill","10-01-2025","0110168610000007990","Kens Metal Industries Limited","Machakos Premises","Cost",,"Accounts Payable",4439.66,"",45410533.24,"Fixed Asset"
,"Bill","11-01-2025","KRACU0100069096/684","Eastwest Company Ltd","items","Cost",,"Accounts Payable",8542.24,"",45419075.48,"Fixed Asset"
,"Bill","13-01-2025","1821919410000014508","P.J Genesis Chuma Limited","Materials","Cost",,"Accounts Payable",412801.72,"",45831877.20,"Fixed Asset"
,"Bill","13-01-2025","1821919410000014507","P.J Genesis Chuma Limited","Materials","Cost",,"Accounts Payable",907413.79,"",46739290.99,"Fixed Asset"
,"Bill","13-01-2025","0171373600000001137","Alphacham Limited","items","Cost",,"Accounts Payable",280.17,"",46739571.16,"Fixed Asset"
,"Bill","14-01-2025","019043226000032946","Animet Ltd","items","Cost",,"Accounts Payable",13017.24,"",46752588.40,"Fixed Asset"
,"Bill","14-01-2025","0171373600000001143","Alphacham Limited","items","Cost",,"Accounts Payable",24439.66,"",46777028.06,"Fixed Asset"
,"Bill","14-01-2025","0110168610000008043","Kens Metal Industries Limited","Machakos Premises","Cost",,"Accounts Payable",8068.97,"",46785097.03,"Fixed Asset"
,"Bill","15-01-2025","1821919410000014546","P.J Genesis Chuma Limited","Materials","Cost",,"Accounts Payable",370000.00,"",47155097.03,"Fixed Asset"
,"Bill","15-01-2025","1821919410000014545","P.J Genesis Chuma Limited","Materials","Cost",,"Accounts Payable",282586.21,"",47437683.24,"Fixed Asset"
"Total Cost",,,,,,,,,3615766.38,0.00,47437683.24,
"Machakos Premises - Other",,,,,,,,,,,0.00,
"Total Machakos Premises - Other",,,,,,,,,"","",0.00,
"Total Machakos Premises",,,,,,,,,3615766.38,0.00,47437683.24,
"Industrial Building - Other",,,,,,,,,,,0.00,
"Total Industrial Building - Other",,,,,,,,,"","",0.00,
"Total Industrial Building",,,,,,,,,3615766.38,0.00,47437683.24,
"Computer Equipment",,,,,,,,,,,573957.65,
"HP Mini Desktop 4",,,,,,,,,,,23799.97,
"Accumulated Depreciation",,,,,,,,,,,-4200.03,
,"General Journal","13-01-2025","26585",,"HP Mini Desktop 4 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",466.67,-4666.70,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,466.67,-4666.70,
