,"Type","Date","Num","Adj","Name","Memo","Account Type","Account","Clr","Split","Debit","Credit","Balance"
"Ordinary Income/Expense",,,,,,,,,,,,,""
"Income",,,,,,,,,,,,,""
"Sales",,,,,,,,,,,,,""
"Stickering",,,,,,,,,,,,,""
,"Invoice","12-09-2024","MC06146",,"Aurora Ventures Limited","Stickering 16128 pcs of Product","Income","Stickering",,"Accounts Receivable","",20160.00,20160.00
,"Invoice","28-10-2024","MC06307",,"Sleek Kenya Ltd","KEBS SM correction stickering labour 4800 Pcs","Income","Stickering",,"Accounts Receivable","",4800.00,24960.00
,"Invoice","22-11-2024","MC06400",,"Sleek Kenya Ltd","KEBS SM correction stickering labour 17000 Pcs","Income","Stickering",,"Accounts Receivable","",17000.00,41960.00
,"Invoice","09-12-2024","MC06455",,"Sleek Kenya Ltd","KEBS SM correction stickering labour 15840 Pcs","Income","Stickering",,"Accounts Receivable","",15840.00,57800.00
"Total Stickering",,,,,,,,,,,0.00,57800.00,57800.00
"Zelia",,,,,,,,,,,,,""
"Zelia Machine Wash",,,,,,,,,,,,,""
,"Sales Receipt","06-11-2024","3402",,"Cash Sales","Zelia Machine Wash 16x750ML","Income","Zelia Machine Wash",,"Undeposited Funds","",154.00,154.00
,"Sales Receipt","12-11-2024","3431",,"Cash Sales","-MULTIPLE-","Income","Zelia Machine Wash",,"Undeposited Funds","",5700.00,5854.00
,"Sales Receipt","18-11-2024","3473",,"Cash Sales","Zelia Machine Wash 16x750ML","Income","Zelia Machine Wash",,"Undeposited Funds",0.00,"",5854.00
,"Sales Receipt","22-11-2024","3499",,"Cash Sales","Zelia Machine Wash 16x750ML","Income","Zelia Machine Wash",,"Undeposited Funds","",1000.00,6854.00
,"Sales Receipt","28-11-2024","3750",,"Cash Sales","Zelia Machine Wash 4x5L","Income","Zelia Machine Wash",,"Undeposited Funds","",1500.00,8354.00
,"Sales Receipt","28-11-2024","3751",,"Cash Sales","Zelia Machine Wash 4x5L","Income","Zelia Machine Wash",,"Undeposited Funds","",1500.00,9854.00
,"Sales Receipt","30-11-2024","AT203",,"Cash Sales","-MULTIPLE-","Income","Zelia Machine Wash",,"Undeposited Funds","",8650.00,18504.00
,"Sales Receipt","02-12-2024","3767",,"Cash Sales","Zelia Machine Wash 9x1.5L","Income","Zelia Machine Wash",,"Undeposited Funds","",600.00,19104.00
,"Sales Receipt","09-12-2024","3318",,"Cash Sales","Zelia Machine Wash 16x750ML","Income","Zelia Machine Wash",,"Undeposited Funds","",300.00,19404.00
,"Sales Receipt","16-12-2024","3348",,"Cash Sales","Zelia Machine Wash 4x5L","Income","Zelia Machine Wash",,"Undeposited Funds","",1500.00,20904.00
,"Sales Receipt","17-12-2024","3355",,"Cash Sales","Zelia Machine Wash 4x5L","Income","Zelia Machine Wash",,"Undeposited Funds","",3000.00,23904.00
,"Sales Receipt","19-12-2024","3373",,"Cash Sales","Zelia Machine Wash 4x5L","Income","Zelia Machine Wash",,"Undeposited Funds",0.00,"",23904.00
"Total Zelia Machine Wash",,,,,,,,,,,0.00,23904.00,23904.00
"Fuel Gel",,,,,,,,,,,,,""
,"Sales Receipt","23-07-2024","2581",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",0.00
,"Sales Receipt","29-07-2024","2602",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",0.00
,"Sales Receipt","29-07-2024","2603",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",0.00
,"Sales Receipt","01-08-2024","2636",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",0.00
,"Sales Receipt","02-08-2024","2651",,"Cash Sales","-MULTIPLE-","Income","Fuel Gel",,"Undeposited Funds","",220.00,220.00
,"Sales Receipt","06-08-2024","2662",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",220.00
,"Sales Receipt","08-08-2024","2685",,"Cash Sales","Flem Fuel Gel 500ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",220.00
,"Sales Receipt","09-08-2024","2696",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds","",180.00,400.00
,"Invoice","14-08-2024","MC06036",,"Entumoto Safari Camp Ltd","-MULTIPLE-","Income","Fuel Gel",,"Accounts Receivable","",9310.34,9710.34
,"Sales Receipt","16-08-2024","2903",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds","",144.00,9854.34
,"Sales Receipt","19-08-2024","2838",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",9854.34
,"Sales Receipt","19-08-2024","2839",,"Cash Sales","Flem Fuel Gel 200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",9854.34
,"Invoice","21-08-2024","MC06061",,"Muhaya & Rukundo Holdings Ltd","-MULTIPLE-","Income","Fuel Gel",,"Accounts Receivable","",25800.00,35654.34
,"Sales Receipt","03-09-2024","2922",,"Cash Sales","Flem Fuel Gel 48X200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",35654.34
,"Sales Receipt","05-09-2024","2952",,"Cash Sales","Flem Fuel Gel 48X200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",35654.34
,"Invoice","11-09-2024","MC06137",,"MUTHU SILVER SPRINGS MANAGEMENT LIMITED","Flem Fuel Gel 48X200ML","Income","Fuel Gel",,"Accounts Receivable","",3744.00,39398.34
,"Invoice","11-10-2024","MC06251",,"HOPEMART SELF SERVICES LTD","Flem Fuel Gel 48X200ML  6 Pieces @96.28","Income","Fuel Gel",,"Accounts Receivable","",498.00,39896.34
,"Invoice","07-11-2024","MC06337",,"HOTEL MONARCH LIMITED","Flem Fuel Gel 5L","Income","Fuel Gel",,"Accounts Receivable","",4040.00,43936.34
,"Invoice","11-11-2024","MC06351",,"HOTEL MONARCH LIMITED","Flem Fuel Gel 5L","Income","Fuel Gel",,"Accounts Receivable","",5050.00,48986.34
,"Sales Receipt","14-11-2024","3727",,"Cash Sales","Flem Fuel Gel 48X200ML","Income","Fuel Gel",,"Undeposited Funds","",188.00,49174.34
,"Sales Receipt","18-11-2024","3455",,"Cash Sales","Flem Fuel Gel 500ML","Income","Fuel Gel",,"Undeposited Funds","",130.00,49304.34
,"Invoice","19-11-2024","MC06380",,"HOTEL MONARCH LIMITED","Flem Fuel Gel 5L","Income","Fuel Gel",,"Accounts Receivable","",5050.00,54354.34
,"Credit Note","19-11-2024","CN01074",,"HOTEL MONARCH LIMITED","Flem Fuel Gel 5L","Income","Fuel Gel",,"Accounts Receivable",5050.00,"",49304.34
,"Sales Receipt","19-11-2024","3471",,"Kedulle Enterprises","Flem Fuel Gel 48X200ML","Income","Fuel Gel",,"Undeposited Funds","",2952.00,52256.34
,"Sales Receipt","19-11-2024","3749",,"Kedulle Enterprises","Flem Fuel Gel 500ML","Income","Fuel Gel",,"Undeposited Funds","",2460.00,54716.34
,"Sales Receipt","20-11-2024","3477",,"Cash Sales","Flem Fuel Gel 48X200ML","Income","Fuel Gel",,"Undeposited Funds",0.00,"",54716.34
,"Sales Receipt","22-11-2024","3485",,"Cash Sales","Flem Fuel Gel 500ML","Income","Fuel Gel",,"Undeposited Funds","",650.00,55366.34
